smartphone,laptop,audio,smartwatch,accessory,label
1,0,5,1,0,audio
3,3,1,2,2,smartphone
6,1,2,2,0,smartphone
1,0,2,0,4,accessory
2,0,6,1,2,audio
2,5,0,2,2,laptop
4,6,0,2,1,laptop
0,4,1,0,1,laptop
2,2,2,2,4,accessory
4,0,1,0,0,smartphone
3,1,4,2,0,audio
0,2,2,1,6,accessory
2,2,6,2,1,audio
0,2,2,1,5,accessory
5,2,0,0,2,smartphone
4,0,4,1,0,smartphone
2,6,0,0,2,laptop
2,4,0,2,2,laptop
1,1,6,0,2,audio
1,0,0,1,4,accessory
5,1,2,1,1,smartphone
1,2,0,5,2,smartwatch
0,4,2,0,1,laptop
2,0,1,0,4,accessory
2,4,0,0,1,laptop
4,2,0,2,1,smartphone
2,1,2,2,4,accessory
6,2,2,0,0,smartphone
2,1,0,6,1,smartwatch
2,4,2,1,4,laptop
5,1,2,0,1,smartphone
0,6,0,0,1,laptop
2,2,3,1,4,accessory
2,4,1,1,0,laptop
0,4,1,1,0,laptop
1,1,2,5,2,smartwatch
2,1,2,2,5,accessory
1,1,5,0,0,audio
1,0,0,5,2,smartwatch
0,0,2,1,6,accessory
2,4,5,2,2,audio
0,1,0,5,0,smartwatch
6,1,0,0,4,smartphone
0,6,1,0,1,laptop
3,2,1,2,6,accessory
5,2,1,1,5,smartphone
0,1,1,6,3,smartwatch
1,3,1,3,4,accessory
1,2,1,4,2,smartwatch
0,1,6,2,0,audio
2,0,6,0,0,audio
4,1,1,0,0,smartphone
6,0,0,2,2,smartphone
4,2,2,0,2,smartphone
2,2,5,3,2,audio
4,1,2,1,0,smartphone
1,1,1,4,1,smartwatch
1,2,6,0,1,audio
6,2,2,0,2,smartphone
4,2,1,2,0,smartphone
1,0,2,1,5,accessory
2,1,2,1,2,smartphone
1,0,0,1,5,accessory
1,2,0,0,4,accessory
5,1,1,3,2,smartphone
2,5,0,0,1,laptop
1,6,0,0,0,laptop
6,2,1,0,1,smartphone
5,0,0,1,5,smartphone
0,1,2,0,4,accessory
0,2,2,5,0,smartwatch
4,4,1,2,2,smartphone
2,0,1,2,5,accessory
2,1,1,0,5,accessory
1,2,6,1,3,audio
2,5,0,0,1,laptop
2,1,0,0,3,accessory
2,2,1,1,4,accessory
2,2,2,5,0,smartwatch
1,0,1,2,5,accessory
6,3,0,1,1,smartphone
1,3,2,3,1,laptop
1,5,2,2,2,laptop
0,0,2,2,4,accessory
0,1,2,1,4,accessory
2,0,5,0,0,audio
5,0,2,1,2,smartphone
1,5,0,0,2,laptop
2,2,1,2,2,smartphone
0,0,4,2,2,audio
4,1,0,2,1,smartphone
2,0,2,6,2,smartwatch
5,2,1,1,0,smartphone
1,5,1,0,0,laptop
2,6,0,2,2,laptop
4,2,1,0,2,smartphone
1,2,1,1,5,accessory
3,1,3,2,1,smartphone
1,3,1,0,5,accessory
2,4,1,2,0,laptop
1,5,1,0,1,laptop
6,2,0,2,2,smartphone
2,1,0,0,6,accessory
0,0,6,2,2,audio
2,1,5,0,1,audio
0,6,1,0,0,laptop
1,6,1,1,1,laptop
3,2,3,4,2,smartwatch
2,6,1,2,2,laptop
2,5,2,1,1,laptop
1,1,1,1,4,accessory
4,2,1,2,1,smartphone
0,6,0,0,2,laptop
0,0,1,5,0,smartwatch
2,1,4,1,2,audio
0,2,2,5,1,smartwatch
3,2,1,0,2,smartphone
1,0,6,2,2,audio
0,5,0,1,2,laptop
2,4,1,2,4,laptop
1,0,6,2,0,audio
1,1,1,2,4,accessory
0,0,4,1,2,audio
1,6,0,1,0,laptop
0,0,6,0,0,audio
5,0,0,3,0,smartphone
0,4,5,0,2,audio
2,0,4,2,0,audio
1,2,2,1,4,accessory
5,2,2,0,0,smartphone
0,2,5,2,3,audio
2,6,1,0,2,laptop
0,6,0,2,0,laptop
1,4,1,2,2,laptop
1,0,0,4,0,smartwatch
6,0,1,0,0,smartphone
1,4,0,2,3,laptop
4,0,2,1,0,smartphone
0,0,1,5,2,smartwatch
2,1,3,2,1,audio
1,6,0,1,1,laptop
1,2,6,0,2,audio
0,2,0,3,5,accessory
2,0,1,4,0,smartwatch
2,0,5,2,2,audio
2,3,1,2,4,accessory
1,6,2,0,0,laptop
5,2,6,2,2,audio
0,0,1,5,0,smartwatch
4,3,1,1,3,smartphone
0,2,0,1,4,accessory
0,0,1,4,1,smartwatch
4,2,1,1,0,smartphone
5,0,2,1,2,smartphone
2,1,1,2,4,accessory
0,2,6,1,2,audio
2,0,3,0,5,accessory
2,2,0,4,1,smartwatch
2,1,3,5,2,smartwatch
3,3,0,0,1,smartphone
2,2,1,4,2,smartwatch
2,2,6,1,4,audio
0,1,4,0,0,audio
2,6,1,0,1,laptop
0,5,2,2,1,laptop
0,2,1,5,2,smartwatch
1,2,2,1,5,accessory
1,2,2,2,6,accessory
1,3,1,3,4,accessory
2,1,4,2,0,audio
1,2,5,1,1,audio
0,4,1,1,2,laptop
1,2,1,6,0,smartwatch
1,1,6,5,1,audio
0,6,0,1,0,laptop
2,0,6,0,1,audio
0,2,4,1,2,audio
1,2,2,4,1,smartwatch
0,0,1,4,2,smartwatch
1,0,6,2,0,audio
2,3,4,1,2,audio
3,4,3,4,1,laptop
4,2,2,4,1,smartphone
1,1,1,2,6,accessory
4,2,2,2,1,smartphone
2,2,2,4,2,smartwatch
0,5,2,0,0,laptop
2,6,2,2,0,laptop
1,3,3,0,2,laptop
0,6,2,1,0,laptop
3,3,2,1,4,accessory
0,2,5,1,1,audio
2,2,0,3,3,smartwatch
0,0,1,6,0,smartwatch
1,0,0,0,4,accessory
1,4,1,4,3,laptop
1,0,1,4,0,smartwatch
4,0,2,2,1,smartphone
0,1,1,1,4,accessory
2,2,6,2,0,audio
1,1,2,1,6,accessory
6,0,1,0,0,smartphone
0,1,1,4,0,smartwatch
6,2,2,2,1,smartphone
0,4,1,2,0,laptop
0,0,0,1,6,accessory
5,0,2,0,2,smartphone
0,0,5,3,1,audio
2,4,2,0,0,laptop
2,0,6,2,0,audio
2,5,5,0,2,laptop
2,0,1,6,0,smartwatch
2,2,5,2,2,audio
5,2,0,2,1,smartphone
2,1,1,1,6,accessory
0,0,3,0,5,accessory
1,2,2,2,4,accessory
1,1,2,1,4,accessory
6,1,1,1,0,smartphone
0,0,2,0,4,accessory
1,6,2,0,1,laptop
6,2,2,1,5,smartphone
2,5,1,0,2,laptop
3,1,2,3,2,smartphone
5,2,4,2,2,smartphone
0,1,5,2,0,audio
2,5,1,1,4,laptop
2,2,6,2,1,audio
2,1,2,4,4,smartwatch
0,5,6,2,1,audio
1,0,2,1,4,accessory
6,0,2,2,2,smartphone
1,1,4,4,1,audio
3,2,1,3,3,smartphone
0,1,2,5,1,smartwatch
0,6,1,0,0,laptop
2,0,1,5,6,accessory
0,1,5,2,0,audio
6,2,0,1,0,smartphone
4,1,2,2,2,smartphone
2,2,0,0,4,accessory
0,6,0,0,2,laptop
2,5,1,1,1,laptop
2,2,0,6,1,smartwatch
2,1,3,4,4,smartwatch
2,2,5,2,0,audio
6,2,2,2,2,smartphone
2,1,0,1,6,accessory
6,0,1,2,1,smartphone
1,2,2,3,4,accessory
3,4,4,1,3,laptop
2,0,4,1,3,audio
1,1,4,2,0,audio
2,5,0,0,0,laptop
2,1,2,1,6,accessory
0,1,2,1,4,accessory
1,1,0,4,0,smartwatch
0,4,2,2,0,laptop
0,1,6,1,2,audio
3,1,2,4,1,smartwatch
2,6,0,0,1,laptop
3,2,1,2,2,smartphone
2,1,6,0,0,audio
1,2,4,2,0,audio
0,0,5,2,0,audio
4,2,3,1,3,smartphone
1,6,4,1,0,laptop
0,0,5,0,1,audio
6,1,4,0,1,smartphone
1,4,2,1,1,laptop
0,1,0,2,4,accessory
0,1,1,6,2,smartwatch
1,3,4,4,2,audio
1,2,1,1,6,accessory
1,2,2,4,0,smartwatch
0,0,6,1,2,audio
5,2,2,1,0,smartphone
0,0,1,5,1,smartwatch
1,2,2,6,1,smartwatch
2,2,1,6,1,smartwatch
4,1,4,2,1,smartphone
2,0,1,4,0,smartwatch
1,1,1,5,4,smartwatch
2,0,3,0,4,accessory
5,0,0,2,1,smartphone
4,3,4,2,2,smartphone
2,0,1,5,0,smartwatch
3,2,3,1,2,smartphone
0,2,4,2,2,audio
0,6,1,0,1,laptop
2,6,1,0,2,laptop
2,0,6,1,0,audio
0,0,4,1,0,audio
6,3,0,0,2,smartphone
2,2,1,0,6,accessory
2,1,0,6,0,smartwatch
0,4,0,0,1,laptop
5,0,3,1,1,smartphone
2,2,1,6,0,smartwatch
2,5,1,0,1,laptop
6,2,2,0,2,smartphone
1,2,2,0,5,accessory
1,1,1,2,4,accessory
1,0,1,4,0,smartwatch
1,2,1,4,2,smartwatch
6,1,2,2,1,smartphone
2,1,5,0,0,audio
0,2,4,0,2,audio
4,2,1,2,3,smartphone
2,2,0,6,4,smartwatch
0,1,0,5,1,smartwatch
0,6,4,0,2,laptop
2,1,1,1,5,accessory
0,4,0,1,1,laptop
5,2,3,0,0,smartphone
2,3,1,2,3,laptop
0,2,4,1,1,audio
2,3,4,2,1,audio
0,1,0,2,6,accessory
1,2,4,0,0,audio
0,1,6,2,1,audio
0,4,2,0,0,laptop
1,5,1,0,2,laptop
0,1,2,1,6,accessory
1,6,1,2,1,laptop
1,5,1,1,1,laptop
2,0,2,5,1,smartwatch
1,1,6,1,1,audio
4,0,2,0,0,smartphone
2,1,1,6,2,smartwatch
2,0,1,2,4,accessory
1,5,1,1,1,laptop
6,1,2,0,0,smartphone
0,2,0,0,4,accessory
1,1,1,6,2,smartwatch
0,3,2,3,0,laptop
5,0,1,2,0,smartphone
4,1,2,2,3,smartphone
2,0,6,1,1,audio
2,1,4,0,0,audio
0,2,2,0,3,accessory
3,0,2,1,5,accessory
1,1,0,4,2,smartwatch
6,2,0,2,5,smartphone
1,0,0,0,5,accessory
2,2,1,1,5,accessory
3,1,4,4,1,audio
2,1,2,4,1,smartwatch
2,1,2,0,6,accessory
2,5,1,0,2,laptop
2,0,2,5,2,smartwatch
1,1,1,6,1,smartwatch
2,0,0,0,6,accessory
0,0,1,2,5,accessory
2,0,1,4,0,smartwatch
4,0,1,0,1,smartphone
2,5,2,1,2,laptop
2,1,1,1,6,accessory
2,0,2,0,5,accessory
2,2,2,5,1,smartwatch
1,5,2,2,1,laptop
1,4,0,1,0,laptop
0,2,1,4,2,smartwatch
2,5,2,0,1,laptop
2,0,6,0,2,audio
4,2,2,3,1,smartphone
0,0,4,1,2,audio
1,0,2,6,0,smartwatch
1,0,1,0,4,accessory
1,4,2,3,4,laptop
2,4,2,1,2,laptop
1,2,1,2,5,accessory
0,2,0,2,5,accessory
0,0,6,2,1,audio
2,1,2,4,1,smartwatch
1,4,2,2,0,laptop
1,0,2,4,0,smartwatch
4,3,1,1,0,smartphone
2,1,0,1,4,accessory
0,1,0,4,2,smartwatch
5,0,2,0,1,smartphone
6,1,2,2,0,smartphone
0,0,1,4,2,smartwatch
1,1,4,1,1,audio
5,0,0,0,1,smartphone
1,2,5,0,1,audio
2,3,3,4,3,smartwatch
1,6,0,2,2,laptop
0,2,0,0,5,accessory
1,6,1,0,1,laptop
4,1,2,1,1,smartphone
1,0,1,2,6,accessory
4,0,2,0,2,smartphone
2,1,1,1,5,accessory
0,0,0,5,0,smartwatch
5,1,2,0,2,smartphone
4,3,3,3,4,smartphone
0,1,1,5,1,smartwatch
0,1,3,2,2,audio
1,2,0,6,1,smartwatch
1,2,5,2,2,audio
1,3,3,4,2,smartwatch
4,2,1,1,3,smartphone
4,3,1,3,1,smartphone
2,4,2,4,1,laptop
2,6,1,0,1,laptop
4,0,0,1,2,smartphone
2,6,1,1,0,laptop
0,2,0,4,2,smartwatch
5,1,0,0,0,smartphone
1,2,1,0,6,accessory
0,5,1,0,0,laptop
1,2,1,6,0,smartwatch
1,2,5,2,1,audio
2,0,1,5,1,smartwatch
1,6,2,0,1,laptop
2,2,4,1,6,accessory
1,4,1,1,0,laptop
2,5,4,0,0,laptop
1,1,2,4,2,smartwatch
1,1,5,2,5,audio
5,2,0,5,2,smartphone
1,3,1,1,2,laptop
2,3,4,2,1,audio
4,0,2,1,0,smartphone
0,1,6,0,1,audio
3,4,2,1,2,laptop
0,2,6,1,2,audio
2,0,2,4,0,smartwatch
0,1,1,4,2,smartwatch
2,1,2,4,0,smartwatch
2,2,2,6,2,smartwatch
6,0,0,2,1,smartphone
1,6,1,0,0,laptop
0,5,2,2,1,laptop
5,0,0,0,2,smartphone
4,2,3,4,3,smartphone
1,1,6,0,3,audio
0,2,0,5,0,smartwatch
4,0,2,2,1,smartphone
4,5,1,0,2,laptop
3,1,1,3,2,smartphone
1,1,0,4,2,smartwatch
0,1,1,6,0,smartwatch
2,4,1,2,1,laptop
0,4,2,2,2,laptop
1,0,2,0,5,accessory
1,0,2,6,2,smartwatch
6,0,1,0,0,smartphone
0,5,4,0,2,laptop
2,0,0,4,2,smartwatch
2,5,1,2,1,laptop
0,1,5,2,1,audio
4,3,2,1,3,smartphone
5,0,1,1,0,smartphone
3,3,2,4,2,smartwatch
4,2,0,0,2,smartphone
4,2,0,1,3,smartphone
4,0,2,1,0,smartphone
2,0,2,1,4,accessory
0,6,2,0,2,laptop
6,0,0,0,1,smartphone
0,1,0,5,0,smartwatch
0,5,0,0,1,laptop
4,4,1,3,1,smartphone
2,1,1,2,4,accessory
1,5,1,0,2,laptop
2,0,1,1,4,accessory
1,6,1,0,2,laptop
2,1,0,4,2,smartwatch
2,6,2,2,2,laptop
1,2,0,6,1,smartwatch
0,2,4,2,2,audio
2,0,1,0,5,accessory
2,4,0,3,1,laptop
2,0,1,2,6,accessory
5,0,2,2,2,smartphone
3,1,2,2,2,smartphone
0,2,1,2,6,accessory
0,0,1,2,5,accessory
0,6,0,2,1,laptop
5,2,2,2,6,accessory
2,0,2,5,2,smartwatch
0,4,0,0,0,laptop
3,1,2,0,4,accessory
1,4,0,2,1,laptop
1,6,1,2,1,laptop
6,0,0,2,1,smartphone
1,5,2,0,0,laptop
1,0,2,6,0,smartwatch
2,0,0,1,6,accessory
3,4,2,2,3,laptop
2,0,1,3,2,smartwatch
4,3,0,2,0,smartphone
3,4,1,1,1,laptop
4,0,2,0,1,smartphone
2,2,1,5,3,smartwatch
2,2,1,5,0,smartwatch
2,1,3,3,2,audio
6,1,4,1,2,smartphone
1,5,0,1,1,laptop
1,4,1,4,3,laptop
0,5,2,2,2,laptop
1,0,4,1,1,audio
0,2,6,0,5,audio
3,3,4,1,2,audio
0,1,1,2,4,accessory
1,0,1,5,2,smartwatch
6,0,0,2,0,smartphone
5,0,1,0,4,smartphone
1,0,0,1,6,accessory
2,1,2,0,4,accessory
1,4,1,2,2,laptop
0,1,4,2,0,audio
3,2,1,0,1,smartphone
1,0,2,4,2,smartwatch
0,3,2,3,2,laptop
0,2,2,6,0,smartwatch
1,1,2,6,1,smartwatch
2,1,0,4,5,accessory
1,4,2,1,2,laptop
2,1,2,5,0,smartwatch
3,1,3,2,3,smartphone
1,6,2,1,0,laptop
1,0,4,0,2,audio
2,1,2,0,4,accessory
1,2,4,1,2,audio
5,2,2,2,2,smartphone
1,0,5,2,1,audio
1,1,0,1,4,accessory
5,2,2,2,1,smartphone
3,1,3,1,2,smartphone
0,1,4,1,4,audio
2,0,1,5,3,smartwatch
5,0,1,1,2,smartphone
2,2,0,5,0,smartwatch
2,0,5,2,0,audio
1,1,6,1,0,audio
0,2,5,0,2,audio
1,5,1,1,1,laptop
4,0,0,1,2,smartphone
0,4,2,1,0,laptop
5,1,2,2,3,smartphone
2,1,5,0,1,audio
2,2,0,0,6,accessory
1,0,2,1,6,accessory
5,2,0,2,2,smartphone
1,0,6,0,0,audio
0,1,4,0,1,audio
2,1,6,2,2,audio
1,5,0,1,0,laptop
0,1,6,1,2,audio
1,4,1,2,0,laptop
0,5,0,4,1,laptop
5,1,1,0,0,smartphone
2,2,0,4,2,smartwatch
5,2,0,1,0,smartphone
2,2,0,0,4,accessory
1,6,1,2,1,laptop
6,2,1,5,0,smartphone
2,5,0,0,2,laptop
0,0,2,0,5,accessory
4,0,2,1,1,smartphone
0,3,1,5,2,smartwatch
0,0,4,2,1,audio
4,1,4,4,4,smartphone
1,4,2,0,1,laptop
2,0,0,1,5,accessory
4,4,2,0,0,smartphone
2,5,1,0,2,laptop
2,1,2,3,4,accessory
1,0,5,1,0,audio
3,2,4,3,1,audio
1,2,4,2,1,audio
1,1,4,2,2,audio
1,4,1,1,1,laptop
2,0,0,5,0,smartwatch
1,1,1,6,0,smartwatch
3,0,5,1,0,audio
1,2,2,2,4,accessory
5,1,6,0,2,audio
4,2,1,0,0,smartphone
1,5,1,1,1,laptop
0,0,0,0,5,accessory
0,1,1,2,4,accessory
0,2,5,0,1,audio
1,2,0,2,4,accessory
0,2,6,0,1,audio
5,2,2,1,0,smartphone
1,1,1,5,0,smartwatch
1,5,0,1,2,laptop
6,2,2,2,2,smartphone
2,4,2,0,1,laptop
5,2,0,1,0,smartphone
1,1,0,3,5,accessory
2,2,0,2,6,accessory
1,2,5,0,0,audio
2,0,6,2,0,audio
2,4,1,5,0,smartwatch
0,4,2,5,1,smartwatch
6,2,2,2,1,smartphone
5,0,1,1,2,smartphone
5,0,0,1,6,accessory
2,1,0,1,4,accessory
3,2,3,2,4,accessory
1,5,2,1,0,laptop
1,2,1,1,3,accessory
2,5,2,2,2,laptop
2,1,5,2,1,audio
1,0,1,2,4,accessory
1,4,4,1,0,laptop
0,5,2,2,0,laptop
3,4,2,2,1,laptop
5,1,2,2,2,smartphone
